# Music-domain Finglish → Persian overlay (MusicEngine).
# Supplement to the upstream elektito/finglish f2p-dict.txt — words that recur in
# Persian song titles/artist names and that the generic per-letter tables often
# render ambiguously (no word-frequency tie-break in V1).
# Format: `<finglish> <persian>` per line, same as f2p-dict.txt.
asemane آسمانه
tataloo تتلو
amirtataloo امیرتتلو
jahan جهان
jahani جهانی
shab شب
del دل
eshgh عشق
donya دنیا
joon جون
ghalb قلب
cheshm چشم
tanha تنها
hame همه
in این
koja کجا
khab خواب
baroon بارون
bahar بهار
zemestoon زمستون
tabestoon تابستون
mah ماه
setare ستاره
noor نور
darya دریا
ashegh عاشق
manam منم
toam توام
begoo بگو
bego بگو
bekon بکن
shod شد
misham میشم
miri میری
miay میای
naro نرو
boro برو
biye بیا
bia بیا
khatere خاطره
yade یاد
yadam یادم
hava هوا
sabz سبز
sefid سفید
siyah سیاه
gerde گرد
alan الان
hamishe همیشه
farda فردا
emrooz امروز
diruz دیروز
chand چند
chanta چنتا
vaght وقت
sobh صبح
zohr ظهر
asr عصر
tavalod تولد
tak تنها
bache بچه
madar مادر
pedar پدر
baba بابا
maman مامان
doosh دوست
dost دوست
rafegh رفیق
baradar برادر
khahar خواهر
khanoom خانم
agha آقا
ghazal غزل
seda صدا
avaz آواز
ahang آهنگ
mosighi موسیقی
taraneh ترانه
gham غم
shadi شادی
ashk اشک
khandeh خنده
lab لب
narges نرگس
yas یاس
gol گل
